ATTRIBUTE DES PLANS
Bodenfläche mit Wänden: m²,53.81,
Bodenfläche mit Innenwänden: m²,45.53,
Bodenfläche ohne Wände: m²,45.15,
Wohnfläche überirdisch: m²,45.15,
Wohnfläche unterirdisch: m²,0.00,
Wohnfläche: m²,45.15,
Volumen: m³,118,
Umfang: : m,34.10,
Stockwerk,1,
Räume,2,
Büro,1,
Konferenz- raum,0,
Fenster,2.00,
Wände mit Öffnungen: m²,100.15,
Wände ohne Öffnungen: m²,85.59,
Erstellungsdatum Grundriss,2020-10-07
Flächen einschließen mit einer Mindesthöhe,2.00 m
Keller (%),100
Außenwände einschließen,Nein
Innenwände einschließen,Nein

ATTRIBUTE DER STOCKWERKE,Bodenfläche ohne Wände: m²,Volumen: m³,Boden  Umfang: : m,Decke  Umfang: : m,Wände mit Öffnungen: m²,Wände ohne Öffnungen: m²,Bodenfläche mit Wänden: m²,Bodenfläche mit Innenwänden: m²,Dicke der Auβenwände,Dicke der Innenwände,
Erdgeschoss,45.15,118,34.11,38.24,100.15,85.59,53.81,45.53,0.25 m,0.12 m,


ATTRIBUTE DER RÄUME,Boden Oberfläche: m²,Volumen: m³,Boden Umfang: : m,Decke Umfang: : m,Wände mit Öffnungen: m²,Wände ohne Öffnungen: m²,Umfang Türen: m²,Fensterfläche: m²,Raumhöhe,
Erdgeschoss,
Großraumbüro,36.74,95,24.24,26.58,68.91,58.80,4.69,5.42,2.59 m,
Kopierraum,8.42,23,9.86,11.66,31.24,26.58,4.65,0.00,2.68 m,

Wandeigenschaften,Wand,Symbol,Oberfläche: m²,Oberflächen ohne Öffnungen: m²,Breite: m,Höhe: m,Anmerkung,Type,Brüstungshöhe,
Erdgeschoss,
Großraumbüro,Wand 1,Wand,12.33,6.91,4.76,2.59,,Wand,,
Großraumbüro,Wall 1,Flügelfenster,2.91,,2.16,1.34,2,Fenster,1.06,
Großraumbüro,Wall 1,Flügelfenster,2.51,,1.95,1.29,3,Fenster,1.11,
Großraumbüro,Wand 5,Wand,9.56,7.82,3.69,2.59,,Wand,,
Großraumbüro,Wall 5,Klapptür,1.74,,0.86,2.03,4,Door,0.00,
Großraumbüro,Wand 7,Wand,5.89,2.94,2.27,2.59,,Wand,,
Großraumbüro,Wall 7,Klapptür,2.95,,1.48,2.00,1,Door,0.00,
Kopierraum,Wand 0,Wand,8.54,6.03,3.19,2.68,,Wand,,
Kopierraum,Wall 0,Klapptür,2.51,,0.86,2.92,6,Door,0.00,
Kopierraum,Wand 3,Wand,7.08,4.93,2.64,2.68,,Wand,,
Kopierraum,Wall 3,Klapptür,2.15,,0.94,2.29,5,Door,0.00,

ANZAHL DER OBJEKTE,Symbol,Großraumbüro,Kopierraum,Erdgeschoss,Outdoors,Plan
Türen,Klapptür,2,2,3,0,3,
Fenster,Flügelfenster,2,0,2,0,2,

ATTRIBUTE DER OBJEKTE
,Stockwerk,Raum,Symbol,Anmerkung,Brüstungshöhe,Höhe,
Türen,Erdgeschoss,Großraumbüro,Klapptür,1,0.00 m,2.00 m,
Türen,Erdgeschoss,Großraumbüro,Klapptür,4,0.00 m,2.03 m,
Türen,Erdgeschoss,Kopierraum,Klapptür,5,0.00 m,2.29 m,
Türen,Erdgeschoss,Kopierraum,Klapptür,6,0.00 m,2.92 m,

,Stockwerk,Raum,Symbol,Anmerkung,Brüstungshöhe,Höhe,
Fenster,Erdgeschoss,Großraumbüro,Flügelfenster,2,1.06 m,1.34 m,
Fenster,Erdgeschoss,Großraumbüro,Flügelfenster,3,1.11 m,1.29 m,

